sample,group,metric,endpoint,obs,null_mean,null_std,p_emp,Z_robust,n_perm,n_spots,n_edges,trace_L,tissue_area,tumor_frac
HCC5NR,NR,E_TAM,per_traceL,0.010762529862425721,0.009870146984018191,0.008629049585021356,0.28357164283571645,0.5722637773999782,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_TAM,per_traceL,0.04797705390555221,0.04412475318180474,5.567414724138142e-16,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_TAM,per_traceL,0.026067042795092137,0.016203086757879015,0.01532159675760593,0.21747825217478253,0.7807381727786762,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_B,raw,18505.517388721593,1868.463121978551,7.804243283693456e-12,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_B,raw,46030.96238963288,1807.9745808153596,5.905915999803635e-12,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_B,raw,6839.0250323194105,1300.3884450818523,5.0944795904037506e-12,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_B,raw,42445.77598885009,3071.5556744114215,6.566742161387161,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_B,raw,62.57044241467833,63.72423456027063,75.16338920619808,0.27377262273772623,0.6014425800214506,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_B,raw,1929.8222736851742,2791.4161211134415,4.1359996802540444e-11,1.0,-inf,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_B,raw,168.2603105165273,185.95720694904335,323.04279200866625,0.22427757224277572,0.7578260178998322,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_CAF,raw,18665.054394053004,1718.684786214873,6.688753092930218e-12,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_CAF,raw,4690.492889140287,1324.7539483550854,6.573374136795705e-12,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_CAF,raw,13184.340875971367,1500.6676200225274,4.300335941985917e-12,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_CAF,raw,32710.465158350875,1525.991190519411,160.9826927610678,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_CAF,raw,15.419152334960547,8.870998866386946,18.351959839161566,0.10868913108689131,1.2335295412389284,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_CAF,raw,16176.856991284676,1251.5956073870034,7.472015841348382e-12,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_CAF,raw,714.7625855021704,309.85056784379424,422.95744512307414,0.14998500149985,1.0364977190484002,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_CYTO,raw,8839.486336219932,1012.7152719528729,5.505153967332771e-12,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_CYTO,raw,3644.0655838772627,1615.8960447355005,8.182642189712225e-12,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_CYTO,raw,13619.260885277825,1292.3712118449603,4.768467255893668e-12,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_CYTO,raw,70471.37547945307,1800.7638531747646,254.623080405482,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_CYTO,raw,526.8191345428581,482.1513786481639,32.857849059194606,0.1260873912608739,1.1450829863944811,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_CYTO,raw,2065.829296239458,2637.2235949246765,2.6643135411396066e-11,1.0,-inf,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_CYTO,raw,962.5404157159336,1003.2421362591583,91.91446174361081,0.5964403559644036,-0.24414401062749283,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_ENDO,raw,5548.708558983813,1311.097204835775,6.776420666590905e-12,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_ENDO,raw,1012.1040149882771,985.9012155254287,1.079067883489287e-11,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_ENDO,raw,17201.123552740653,1018.1784573288031,4.057665916720293e-12,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_ENDO,raw,35819.97661690807,1297.4587895642608,158.7873538631172,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_ENDO,raw,275.54627054707373,156.75528289875848,152.0868445056862,0.14878512148785122,1.0416580537062698,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_ENDO,raw,13246.844058248487,641.5612956552396,9.518851602266757e-12,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_ENDO,raw,958.3497665898881,445.03354122671374,552.6381253684799,0.1621837816218378,0.9855223406190212,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_TAM,raw,13905.130914564688,2505.55769113808,6.758120929347642e-12,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_TAM,raw,42562.621607021996,3129.595828882867,7.383511912970757e-12,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_TAM,raw,10865.589368406621,1184.3666572559055,3.973705456668915e-12,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_TAM,raw,62088.70360279996,1594.009796211471,210.04415105905025,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_TAM,raw,218.3071557294433,200.20606142382496,175.0316417825732,0.28357164283571645,0.5722637773999782,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_TAM,raw,1991.7194158350944,1831.7950035894423,2.311337189795027e-11,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_TAM,raw,974.4903278517245,605.7361953565492,572.7825731863401,0.21747825217478253,0.7807381727786762,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
