diff_R_minus_NR,program_key,program_label,iter
-0.05949451115216918,exhaustion,exhaustion,283
-0.07411320234918464,exhaustion,exhaustion,284
-0.07411320234918464,exhaustion,exhaustion,285
-0.08619179697183439,exhaustion,exhaustion,286
-0.08195437275580733,exhaustion,exhaustion,287
-0.07792865659161972,exhaustion,exhaustion,288
-0.07506888689477921,exhaustion,exhaustion,289
-0.06665177659311573,exhaustion,exhaustion,290
-0.05949451115216918,exhaustion,exhaustion,291
-0.06828951372341927,exhaustion,exhaustion,292
-0.07081911504870443,exhaustion,exhaustion,293
-0.06181979198036369,exhaustion,exhaustion,294
-0.08619179697183439,exhaustion,exhaustion,295
-0.0709042817382298,exhaustion,exhaustion,296
-0.08347666802509693,exhaustion,exhaustion,297
-0.06181979198036369,exhaustion,exhaustion,298
-0.06665177659311573,exhaustion,exhaustion,299
-0.04791787023348933,cytotoxic,cytotoxic,0
-0.05687212243669371,cytotoxic,cytotoxic,1
-0.0948295961224673,cytotoxic,cytotoxic,2
-0.08178522780949149,cytotoxic,cytotoxic,3
-0.06715193265560733,cytotoxic,cytotoxic,4
-0.09152263599748355,cytotoxic,cytotoxic,5
-0.09152263599748355,cytotoxic,cytotoxic,6
-0.09026467215440602,cytotoxic,cytotoxic,7
-0.05687212243669371,cytotoxic,cytotoxic,8
-0.0948295961224673,cytotoxic,cytotoxic,9
-0.06715193265560733,cytotoxic,cytotoxic,10
-0.09152263599748355,cytotoxic,cytotoxic,11
-0.04791787023348933,cytotoxic,cytotoxic,12
-0.05687212243669371,cytotoxic,cytotoxic,13
-0.08178522780949149,cytotoxic,cytotoxic,14
-0.09132021708057629,cytotoxic,cytotoxic,15
-0.05687212243669371,cytotoxic,cytotoxic,16
-0.08178522780949149,cytotoxic,cytotoxic,17
-0.0948295961224673,cytotoxic,cytotoxic,18
-0.05687212243669371,cytotoxic,cytotoxic,19
-0.10103267223297355,cytotoxic,cytotoxic,20
-0.09026467215440602,cytotoxic,cytotoxic,21
-0.09132021708057629,cytotoxic,cytotoxic,22
-0.06457033807143107,cytotoxic,cytotoxic,23
-0.09026467215440602,cytotoxic,cytotoxic,24
-0.08178522780949149,cytotoxic,cytotoxic,25
-0.06457033807143107,cytotoxic,cytotoxic,26
-0.09132021708057629,cytotoxic,cytotoxic,27
-0.05687212243669371,cytotoxic,cytotoxic,28
-0.0948295961224673,cytotoxic,cytotoxic,29
-0.06715193265560733,cytotoxic,cytotoxic,30
-0.09152263599748355,cytotoxic,cytotoxic,31
-0.04791787023348933,cytotoxic,cytotoxic,32
-0.08178522780949149,cytotoxic,cytotoxic,33
-0.09026467215440602,cytotoxic,cytotoxic,34
-0.06457033807143107,cytotoxic,cytotoxic,35
-0.09152263599748355,cytotoxic,cytotoxic,36
-0.0948295961224673,cytotoxic,cytotoxic,37
-0.05687212243669371,cytotoxic,cytotoxic,38
-0.06457033807143107,cytotoxic,cytotoxic,39
-0.05687212243669371,cytotoxic,cytotoxic,40
-0.0948295961224673,cytotoxic,cytotoxic,41
-0.09026467215440602,cytotoxic,cytotoxic,42
-0.05687212243669371,cytotoxic,cytotoxic,43
-0.05687212243669371,cytotoxic,cytotoxic,44
-0.06715193265560733,cytotoxic,cytotoxic,45
-0.05687212243669371,cytotoxic,cytotoxic,46
-0.0948295961224673,cytotoxic,cytotoxic,47
-0.06715193265560733,cytotoxic,cytotoxic,48
-0.04791787023348933,cytotoxic,cytotoxic,49
-0.09132021708057629,cytotoxic,cytotoxic,50
-0.05687212243669371,cytotoxic,cytotoxic,51
-0.08178522780949149,cytotoxic,cytotoxic,52
-0.09152263599748355,cytotoxic,cytotoxic,53
-0.04791787023348933,cytotoxic,cytotoxic,54
-0.04791787023348933,cytotoxic,cytotoxic,55
-0.08178522780949149,cytotoxic,cytotoxic,56
-0.09152263599748355,cytotoxic,cytotoxic,57
-0.06457033807143107,cytotoxic,cytotoxic,58
-0.09026467215440602,cytotoxic,cytotoxic,59
-0.09132021708057629,cytotoxic,cytotoxic,60
-0.0948295961224673,cytotoxic,cytotoxic,61
-0.0948295961224673,cytotoxic,cytotoxic,62
-0.04791787023348933,cytotoxic,cytotoxic,63
-0.05687212243669371,cytotoxic,cytotoxic,64
-0.05687212243669371,cytotoxic,cytotoxic,65
-0.08178522780949149,cytotoxic,cytotoxic,66
-0.09026467215440602,cytotoxic,cytotoxic,67
-0.08178522780949149,cytotoxic,cytotoxic,68
-0.05687212243669371,cytotoxic,cytotoxic,69
-0.10103267223297355,cytotoxic,cytotoxic,70
-0.09132021708057629,cytotoxic,cytotoxic,71
-0.06457033807143107,cytotoxic,cytotoxic,72
-0.06715193265560733,cytotoxic,cytotoxic,73
-0.09132021708057629,cytotoxic,cytotoxic,74
-0.04791787023348933,cytotoxic,cytotoxic,75
-0.09026467215440602,cytotoxic,cytotoxic,76
-0.06457033807143107,cytotoxic,cytotoxic,77
-0.06715193265560733,cytotoxic,cytotoxic,78
-0.04791787023348933,cytotoxic,cytotoxic,79
-0.04791787023348933,cytotoxic,cytotoxic,80
-0.06457033807143107,cytotoxic,cytotoxic,81
-0.09026467215440602,cytotoxic,cytotoxic,82
-0.04791787023348933,cytotoxic,cytotoxic,83
-0.06457033807143107,cytotoxic,cytotoxic,84
-0.09026467215440602,cytotoxic,cytotoxic,85
-0.09026467215440602,cytotoxic,cytotoxic,86
-0.10103267223297355,cytotoxic,cytotoxic,87
-0.09026467215440602,cytotoxic,cytotoxic,88
-0.10103267223297355,cytotoxic,cytotoxic,89
-0.0948295961224673,cytotoxic,cytotoxic,90
-0.04791787023348933,cytotoxic,cytotoxic,91
-0.09152263599748355,cytotoxic,cytotoxic,92
-0.09152263599748355,cytotoxic,cytotoxic,93
-0.0948295961224673,cytotoxic,cytotoxic,94
-0.04791787023348933,cytotoxic,cytotoxic,95
-0.06715193265560733,cytotoxic,cytotoxic,96
-0.06715193265560733,cytotoxic,cytotoxic,97
-0.08178522780949149,cytotoxic,cytotoxic,98
-0.09026467215440602,cytotoxic,cytotoxic,99
-0.05687212243669371,cytotoxic,cytotoxic,100
-0.09132021708057629,cytotoxic,cytotoxic,101
-0.05687212243669371,cytotoxic,cytotoxic,102
-0.06715193265560733,cytotoxic,cytotoxic,103
-0.0948295961224673,cytotoxic,cytotoxic,104
-0.09026467215440602,cytotoxic,cytotoxic,105
-0.09152263599748355,cytotoxic,cytotoxic,106
-0.10103267223297355,cytotoxic,cytotoxic,107
-0.06715193265560733,cytotoxic,cytotoxic,108
-0.04791787023348933,cytotoxic,cytotoxic,109
-0.09026467215440602,cytotoxic,cytotoxic,110
-0.09152263599748355,cytotoxic,cytotoxic,111
-0.10103267223297355,cytotoxic,cytotoxic,112
-0.09152263599748355,cytotoxic,cytotoxic,113
-0.08178522780949149,cytotoxic,cytotoxic,114
-0.10103267223297355,cytotoxic,cytotoxic,115
-0.0948295961224673,cytotoxic,cytotoxic,116
-0.10103267223297355,cytotoxic,cytotoxic,117
-0.09026467215440602,cytotoxic,cytotoxic,118
-0.10103267223297355,cytotoxic,cytotoxic,119
-0.05687212243669371,cytotoxic,cytotoxic,120
-0.06715193265560733,cytotoxic,cytotoxic,121
-0.09152263599748355,cytotoxic,cytotoxic,122
-0.05687212243669371,cytotoxic,cytotoxic,123
-0.0948295961224673,cytotoxic,cytotoxic,124
